Codigo, Nombre, precio mayor, precio mayor2, precio menor, precio menor 2, cantidad mayor
PINB08,PIEDRA NATURAL BOLA # 08,5.00,5.00,6.25,5.00,6
PINB10,PIEDRA NATURAL BOLA # 10,6.00,6.00,7.50,6.00,6
PINB12,PIEDRA NATURAL BOLA # 12,6.90,6.90,8.63,6.90,6
PNB14TIR,PIEDRA NATURAL BOLA # 14TIRA,7.00,7.00,8.40,7.00,6
PINB04,PIEDRA NATURAL BOLA # 4,3.50,3.50,4.38,3.50,6
PINB14,PIEDRA NATURAL BOLA /14,0.32,0.32,0.32,0.32,6
PNBC6,PIEDRA NATURAL BOLA CORTADA # 06,5.00,5.00,6.25,5.00,6
PINC11,PIEDRA NATURAL CILINDRO 11 X 14,3.90,3.90,4.88,3.90,6
PNC11C,PIEDRA NATURAL CILINDRO 11 X 14 C/BRILLO,7.00,7.00,8.75,7.00,6
PINC13,PIEDRA NATURAL CILINDRO 13 X 18,0.00,0.00,0.38,0.00,6
PC13X18T,PIEDRA NATURAL CILINDRO 13X18 TIRA,6.90,6.90,8.28,6.90,6
PIENDI,PIEDRA NATURAL DIJE,0.68,0.68,0.68,0.68,6
PIENDP,PIEDRA NATURAL DIJE PASTILLA,4.95,4.95,6.19,4.95,6
PINDITIR,PIEDRA NATURAL DIJE TIRA,5.30,5.30,6.36,5.30,6
PNG10,PIEDRA NATURAL GOTA 10 X 14,3.90,3.90,4.88,3.90,6
PNG13,PIEDRA NATURAL GOTA 13 X 18,0.29,0.29,0.29,0.29,6
PNG13TI,PIEDRA NATURAL GOTA 13X18 TIRA,4.95,4.95,5.94,4.95,6
PNG07,PIEDRA NATURAL GOTA 7 X 9,3.00,3.00,3.78,3.00,6
PNG09,PIEDRA NATURAL GOTA 9 X 12,3.80,3.80,4.75,3.80,6
PNO12,PIEDRA NATURAL OVALO 12x40,1.07,1.07,1.07,1.07,6
PNREC,PIEDRA NATURAL RECTANGULO,4.30,4.30,5.38,4.30,6
PIENRG,PIEDRA NATURAL RECTANGULO GRANDE,0.59,0.59,0.59,0.59,6
PIENRM,PIEDRA NATURAL RECTANGULO MEDIANA,0.62,0.62,0.62,0.62,6
PINT11,PIEDRA NATURAL TAMBOR 11 X 14,3.90,3.90,4.88,3.90,6
PINT13,PIEDRA NATURAL TAMBOR 13 X 18,0.39,0.39,0.39,0.39,6
PIENVM,PIEDRA NATURAL VARIOS MODELOS,0.50,0.50,0.63,0.50,6
POGAX100,PIEDRA OJO DE GATO ATACHE,6.00,6.00,7.20,6.00,6
PIEOGA,PIEDRA OJO DE GATO ATACHE,0.08,0.08,0.08,0.08,6
POGB10,PIEDRA OJO DE GATO BOLA # 10,2.50,2.50,3.15,2.50,6
POGB12,PIEDRA OJO DE GATO BOLA # 12,3.25,3.25,4.06,3.25,6
POGB14,PIEDRA OJO DE GATO BOLA # 14,0.22,0.22,0.28,0.22,6
POGB06,PIEDRA OJO DE GATO BOLA # 6,1.20,1.20,1.51,1.20,6
POGB08,PIEDRA OJO DE GATO BOLA # 8,1.60,1.60,2.02,1.60,6
POGCUA,PIEDRA OJO DE GATO CUADRADO,2.50,2.50,3.13,2.50,6
POGD04,PIEDRA OJO DE GATO DIAMANTE # 04,2.50,2.50,3.15,2.50,6
POGD06,PIEDRA OJO DE GATO DIAMANTE # 06,2.75,2.75,3.44,2.75,6
POGD08,PIEDRA OJO DE GATO DIAMANTE # 08,3.00,3.00,3.78,3.00,6
POGD10,PIEDRA OJO DE GATO DIAMANTE # 10,3.60,3.60,4.50,3.60,6
POGD12,PIEDRA OJO DE GATO DIAMANTE # 12,4.25,4.25,5.31,4.25,6
PIOGDR,PIEDRA OJO DE GATO DIJE RECT.,0.30,0.30,0.30,0.30,6
POGDRP,PIEDRA OJO DE GATO DIJE RECTANG./PQ,2.75,2.75,3.44,2.75,6
PIEOGE,PIEDRA OJO DE GATO ENTORCHADO,3.90,3.90,4.88,3.90,6
PIEOGP,PIEDRA OJO DE GATO PASTILLA,2.50,2.50,3.13,2.50,6
POTB06,PIEDRA OJO DE TIGRE BOLA # 06,4.50,4.50,5.62,4.50,6
POTB08,PIEDRA OJO DE TIGRE BOLA # 08,5.50,5.50,6.88,5.50,6
POTB10,PIEDRA OJO DE TIGRE BOLA # 10,7.50,7.50,9.38,7.50,6
POTB12,PIEDRA OJO DE TIGRE BOLA # 12,9.50,9.50,11.88,9.50,6
POTB14,PIEDRA OJO DE TIGRE BOLA # 14,10.00,10.00,12.50,10.00,6
POTB04,PIEDRA OJO DE TIGRE BOLA #4,4.00,4.00,5.00,4.00,6
POTC12,PIEDRA OJO DE TIGRE CORAZON #12,8.50,8.50,10.63,8.50,6
POTC06,PIEDRA OJO DE TIGRE CUADRADO # 06,5.50,5.50,6.88,5.50,6
POTC10,PIEDRA OJO DE TIGRE CUBO 10 x 10 x 10,7.00,7.00,8.75,7.00,6
POTO10,PIEDRA OJO DE TIGRE OVALO 10 X 30,9.50,9.50,11.88,9.50,6
POTO12,PIEDRA OJO DE TIGRE OVALO 12 x 40,1.25,1.25,1.25,1.25,6
POTR10,PIEDRA OJO DE TIGRE ROMBO 10 x 10,6.50,6.50,8.13,6.50,6
